Date,Time,Source,,
25/04/2012,12:32,https://x.com/federalreserve/status/195188523232526336?s=20,,
20/06/2012,14:32,https://x.com/federalreserve/status/215482314447257600?s=20,,
01/08/2012,14:14,https://x.com/BloombergRadio/status/230728297884033024?s=20,,
13/09/2012,12:31,https://x.com/federalreserve/status/246284945671200769?s=20,,
24/10/2012,14:15,https://x.com/sffed/status/261169125253058560?s=20,,
12/12/2012,12:30,https://x.com/federalreserve/status/278914621845417984?s=20,,
30/01/2013,14:19,https://x.com/federalreserve/status/296699076664229889?s=20,,
20/03/2013,14:00,https://x.com/federalreserve/status/314436417486987265?s=20,,
01/05/2013,14:00,https://x.com/federalreserve/status/329656623691862018?s=20,,
19/06/2013,14:02,https://x.com/federalreserve/status/347414124340314112?s=20,,
31/07/2013,14:00,https://x.com/federalreserve/status/362633947030618113?s=20,,
18/09/2013,14:01,https://x.com/federalreserve/status/380391259912675329?s=20,,
30/10/2013,14:00,https://x.com/federalreserve/status/395611163670495232?s=20,,
18/12/2013,14:01,https://x.com/federalreserve/status/413383524427640833?s=20,,
29/01/2014,14:00,https://x.com/federalreserve/status/428603677461336064?s=20,,
19/03/2014,14:01,https://x.com/federalreserve/status/446345615891386368?s=20,,
30/04/2014,14:01,https://x.com/federalreserve/status/461565927658893312?s=20,,
18/06/2014,14:02,https://x.com/federalreserve/status/479323198371409921?s=20,,
30/07/2014,14:00,https://x.com/federalreserve/status/494543122765209600?s=20,,
17/09/2014,14:01,https://x.com/federalreserve/status/512300300645179392?s=20,,
29/10/2014,14:02,https://x.com/federalreserve/status/527520960321425409?s=20,,
17/12/2014,14:00,https://x.com/federalreserve/status/545292534650765313?s=20,,
28/12/2015,14:01,https://x.com/federalreserve/status/560513089117097985?s=20,,
18/03/2015,14:00,https://x.com/federalreserve/status/578254717538693120?s=20,,
29/04/2015,14:01,https://x.com/federalreserve/status/593475233270603778?s=20,,
17/06/2015,14:01,https://x.com/federalreserve/status/611232178270302208?s=20,,
29/07/2015,14:01,https://x.com/federalreserve/status/626452296151494656?s=20,,
17/09/2015,14:00,https://x.com/federalreserve/status/644571648713191424?s=20,,
28/10/2015,14:01,https://x.com/federalreserve/status/659429677132591104?s=20,,
16/12/2015,14:00,https://x.com/federalreserve/status/677201574624665600?s=20,,
01/02/2016,14:00,https://x.com/federalreserve/status/692421910416744448?s=20,,
16/03/2016,14:00,https://x.com/federalreserve/status/710163789535178752?s=20,,
27/04/2016,14:00,https://x.com/federalreserve/status/725384061179547649?s=20,,
15/06/2016,14:00,https://x.com/federalreserve/status/743141079319347200?s=20,,
27/07/2016,14:11,https://x.com/federalreserve/status/758364170999959552?s=20,,
21/09/2016,14:00,https://x.com/federalreserve/status/778655090408361984?s=20,,
02/11/2016,14:00,https://x.com/federalreserve/status/793875369522855937?s=20,,
14/12/2016,14:00,https://x.com/federalreserve/status/809110746235867137?s=20,,
01/02/2017,14:00,https://x.com/federalreserve/status/826867829987229699?s=20,,
15/03/2017,14:00,https://x.com/federalreserve/status/842072944935231490?s=20,,
03/05/2017,14:01,https://x.com/federalreserve/status/859830169359585281?s=20,,
14/06/2017,14:00,https://x.com/federalreserve/status/875050333101314048?s=20,,
26/07/2017,14:00,https://x.com/federalreserve/status/890270578573271041?s=20,,
20/09/2017,14:00,https://x.com/federalreserve/status/910564276682797056?s=20,,
01/11/2017,14:00,https://x.com/federalreserve/status/925784595643162624?s=20,,
13/12/2017,14:00,https://x.com/federalreserve/status/941020004207734784?s=20,,
31/01/2018,14:02,https://x.com/federalreserve/status/958777447331319808,,
21/03/2018,14:00,https://x.com/federalreserve/status/976518855483908097?s=20,,
02/05/2018,14:00,https://x.com/federalreserve/status/991739133491138560?s=20,,
13/06/2018,14:00,https://x.com/federalreserve/status/1006959438845136897?s=20,,
01/08/2018,14:00,https://x.com/federalreserve/status/1024716438383349760?s=20,,
26/09/2018,14:00,https://x.com/federalreserve/status/1045010157346918400?s=20,,
08/11/2018,14:01,https://x.com/federalreserve/status/1060608138523508736?s=20,,
19/12/2018,14:00,https://x.com/federalreserve/status/1075465930057150464?s=20,,
30/01/2019,14:01,https://x.com/federalreserve/status/1090686405020389376?s=20,,
20/03/2019,14:00,https://x.com/federalreserve/status/1108428038117736451?s=20,,
01/05/2019,14:00,https://x.com/federalreserve/status/1123648329450184708?s=20,,
19/06/2019,14:02,https://x.com/federalreserve/status/1141405806677626880?s=20,,
31/07/2019,14:00,https://x.com/federalreserve/status/1156625693591126016?s=20,,
18/09/2019,14:00,https://x.com/federalreserve/status/1174382765283954690?s=20,,
30/10/2019,14:00,https://x.com/federalreserve/status/1189603058113794050?s=20,,
11/12/2019,14:00,https://x.com/federalreserve/status/1204838429068058624?s=20,,
29/01/2020,14:00,https://x.com/federalreserve/status/1222595497870929921?s=20,,
03/03/2020,14:01,https://x.com/federalreserve/status/1234856403082391552?s=20,,
15/03/2020,17:00,https://x.com/federalreserve/status/1239295413385076737,,
19/03/2020,09:02,https://x.com/federalreserve/status/1240624638562099201?s=20,,
23/03/2020,08:00,https://x.com/federalreserve/status/1242058838884392969?s=20,,
31/03/2020,08:31,https://x.com/federalreserve/status/1244995760485273611?s=20,,
29/04/2020,14:01,https://x.com/federalreserve/status/1255557721308516357?s=20,,
10/06/2020,14:01,https://x.com/federalreserve/status/1270778049722753025?s=20,,
29/07/2020,14:00,https://x.com/federalreserve/status/1288535000716115969?s=20,,
16/09/2020,14:01,https://x.com/federalreserve/status/1306292148678074370?s=20,,
05/11/2020,14:01,https://x.com/federalreserve/status/1324426520518164480?s=20,,
16/12/2020,14:00,https://x.com/federalreserve/status/1339284336772861957?s=20,,
28/01/2021,14:00,https://x.com/federalreserve/status/1354504569804509188?s=20,,
17/03/2021,14:01,https://x.com/federalreserve/status/1372246708944568328?s=20,,
28/04/2021,14:00,https://x.com/federalreserve/status/1387466760564137990?s=20,,
16/06/2021,14:00,https://x.com/federalreserve/status/1405223729676890123?s=20,,
28/07/2021,14:00,https://x.com/federalreserve/status/1420444113065947138?s=20,,
22/09/2021,14:00,https://x.com/federalreserve/status/1440737706011627531?s=20,,
03/11/2021,14:00,https://x.com/federalreserve/status/1455958083323277320?s=20,,
15/12/2021,14:00,https://x.com/federalreserve/status/1471193404830797839?s=20,,
26/01/2022,14:10,https://x.com/federalreserve/status/1486416230215200768?s=20,,
16/03/2022,14:00,https://x.com/federalreserve/status/1504155753518620678?s=20,,
04/05/2022,14:00,https://www.federalreserve.gov/monetarypolicy/fomcpresconf20220504.htm,,
15/06/2022,14:02,https://x.com/federalreserve/status/1537133413236297728?s=20,,
27/07/2022,14:02,https://x.com/federalreserve/status/1552353745576550401,,
21/09/2022,14:01,https://x.com/federalreserve/status/1572647128903872513?s=20,,
02/11/2022,14:00,https://x.com/federalreserve/status/1587867282902061057?s=20,,
14/12/2022,14:04,https://x.com/federalreserve/status/1603103536665055232?s=20,,

